index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HYBRID,11830392,8967556,5538340,11753613416,2.40959,2.19184,2.23662,BinarySearch,128/1000
HYBRID,5554277,8739780,5560604,11753613416,2.00678,2.10737,2.09834,BinarySearch,128/10000
HYBRID,5589699,8769118,5565810,11753613416,1.86456,1.93346,1.93698,BinarySearch,128/100000
HYBRID,5594424,5559831,5549221,11753613416,2.24024,2.24688,2.11848,LinearSearch,128/1000
HYBRID,8540522,5575822,5598193,11753613416,2.05235,2.03433,2.03072,LinearSearch,128/10000
HYBRID,9054555,5558819,5645047,11753613416,1.87838,1.89615,1.89445,LinearSearch,128/100000
DynamicPGM,3630853,3616960,3616991,1703241188,2.82342,2.95421,2.9044,LinearSearch,32
DynamicPGM,2837149,2837647,2835210,1700049408,2.87568,2.878,2.88018,InterpolationSearch,128
DynamicPGM,2763485,2762994,2762064,1700011168,2.87946,2.87056,2.90209,InterpolationSearch,256
LIPP,11788338,8998171,5624355,11753613200,2.91443,2.60206,2.65646
